City ID,City Name,Country Code,Date (UTC),Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
0,Arraial Do Cabo,BR,2020-05-12 02:26:24,-22.97,-42.03,71.96,79,0,22.41
1,Yingcheng,CN,2020-05-12 02:35:51,30.95,113.55,75.2,50,26,6.71
2,Katsuura,JP,2020-05-12 02:27:29,35.13,140.3,73.18,78,75,6.93
3,Bacolod,PH,2020-05-12 02:35:51,10.67,122.95,89.69,62,62,8.61
4,Taoudenni,ML,2020-05-12 02:26:42,22.68,-3.98,90.03,13,81,7.58
5,Olafsvik,IS,2020-05-12 02:28:06,64.89,-23.71,39.15,79,52,9.91
6,Mar Del Plata,AR,2020-05-12 02:26:41,-38.0,-57.56,48.25,93,22,4.7
7,Albany,US,2020-05-12 02:26:23,42.6,-73.97,40.78,65,99,13.76
8,Fougamou,GA,2020-05-12 02:35:51,-1.22,10.58,73.38,95,56,0.67
9,East London,ZA,2020-05-12 02:26:28,-33.02,27.91,65.41,73,70,11.05
10,Upernavik,GL,2020-05-12 02:26:49,72.79,-56.15,31.33,93,100,8.25
11,Camopi,GF,2020-05-12 02:35:51,3.17,-52.32,73.94,97,100,2.66
12,Penticton,CA,2020-05-12 02:35:51,49.48,-119.59,69.8,37,40,5.82
13,Ostrovnoy,RU,2020-05-12 02:27:02,68.05,39.51,41.0,80,100,22.21
14,Ushuaia,AR,2020-05-12 02:25:55,-54.8,-68.3,39.2,86,75,26.4
15,Gondar,ET,2020-05-12 02:35:52,12.6,37.47,65.73,31,1,6.62
16,Sao Joao Da Barra,BR,2020-05-12 02:26:44,-21.64,-41.05,70.7,85,0,8.41
17,Castro,BR,2020-05-12 02:26:52,-24.79,-50.01,57.25,91,0,5.5
18,New Norfolk,AU,2020-05-12 02:26:23,-42.78,147.06,59.31,67,55,5.99
19,Ribeira Grande,PT,2020-05-12 02:22:09,38.52,-28.7,61.25,85,100,23.62
20,Bluff,NZ,2020-05-12 02:26:38,-46.6,168.33,53.08,71,6,12.77
21,Port Alfred,ZA,2020-05-12 02:26:30,-33.59,26.89,64.0,86,50,3.0
22,Kahului,US,2020-05-12 02:27:43,20.89,-156.47,75.69,54,75,18.34
23,Bulbucata,RO,2020-05-12 02:35:52,44.28,25.8,66.52,77,67,5.39
24,Chuy,UY,2020-05-12 02:27:43,-33.7,-53.46,53.62,80,0,6.98
25,Chernyshevsk,RU,2020-05-12 02:35:52,52.52,117.02,51.35,38,12,13.18
26,Mammaste,EE,2020-05-12 02:35:52,58.07,27.05,34.29,80,100,8.05
27,Yellowknife,CA,2020-05-12 02:26:23,62.46,-114.35,46.2,42,75,13.87
28,Fortuna,US,2020-05-12 02:28:53,40.6,-124.16,61.32,62,75,16.11
29,Ixtapa,MX,2020-05-12 02:35:52,20.7,-105.2,77.0,88,5,3.36
30,Tiarei,PF,2020-05-12 02:27:17,-17.53,-149.33,86.0,70,3,11.41
31,Saldanha,ZA,2020-05-12 02:22:14,-33.01,17.94,59.0,87,100,4.7
32,Port Lincoln,AU,2020-05-12 02:27:24,-34.73,135.87,64.65,59,1,17.85
33,Clyde River,CA,2020-05-12 02:29:51,70.47,-68.59,12.2,92,90,8.05
34,Saint-Pierre,RE,2020-05-12 02:26:30,-21.34,55.48,62.76,63,75,5.82
35,Mataura,NZ,2020-05-12 02:26:43,-46.19,168.86,54.09,61,100,1.99
36,Tasiilaq,GL,2020-05-12 02:26:44,65.61,-37.64,28.4,74,66,1.12
37,Dobryatino,RU,2020-05-12 02:35:53,55.51,41.32,49.84,81,32,8.9
38,Atuona,PF,2020-05-12 02:26:32,-9.8,-139.03,80.82,74,79,17.47
39,Jamestown,US,2020-05-12 02:26:28,42.1,-79.24,36.77,93,90,11.41
40,Wanning,CN,2020-05-12 02:35:53,18.8,110.4,87.04,65,21,8.77
41,Hermanus,ZA,2020-05-12 02:26:47,-34.42,19.23,57.99,90,97,9.82
42,Ponta Do Sol,PT,2020-05-12 02:27:31,32.67,-17.1,59.65,63,20,2.24
43,Butaritari,KI,2020-05-12 02:26:44,3.07,172.79,84.0,75,90,12.59
44,Punta Arenas,CL,2020-05-12 02:22:29,-53.15,-70.92,35.29,80,0,11.41
45,Rio Gallegos,AR,2020-05-12 02:35:53,-51.62,-69.22,37.4,93,97,12.75
46,Boke,GN,2020-05-12 02:36:03,10.94,-14.3,77.43,81,100,5.46
47,Lebyazhye,RU,2020-05-12 02:36:03,55.27,66.49,73.02,51,39,12.21
48,Tabas,IR,2020-05-12 02:36:03,33.6,56.92,77.0,33,2,6.93
49,Rikitea,PF,2020-05-12 02:26:27,-23.12,-134.97,74.41,68,0,7.65
50,Muros,ES,2020-05-12 02:26:39,42.78,-9.06,57.99,82,70,1.01
51,Hilo,US,2020-05-12 02:26:23,19.73,-155.09,71.47,83,90,6.93
52,Praia Da Vitoria,PT,2020-05-12 02:36:03,38.73,-27.07,59.0,93,75,6.08
53,Cape Town,ZA,2020-05-12 02:26:36,-33.93,18.42,60.64,87,100,10.29
54,Sangar,RU,2020-05-12 02:36:04,63.92,127.47,37.4,79,90,8.61
55,Torbay,CA,2020-05-12 02:27:59,47.67,-52.73,37.29,90,5,12.75
56,Nuuk,GL,2020-05-12 02:33:47,64.18,-51.72,44.6,75,100,3.36
57,Laguna,US,2020-05-12 02:27:14,38.42,-121.42,62.94,72,90,18.34
58,Port Hardy,CA,2020-05-12 02:28:18,50.7,-127.42,66.2,48,75,6.93
59,Tuy Hoa,VN,2020-05-12 02:36:04,13.08,109.3,89.08,57,94,4.9
60,Bonthe,SL,2020-05-12 02:36:04,7.53,-12.51,78.87,85,100,2.15
61,Clarence Town,AU,2020-05-12 02:36:04,-32.58,151.78,65.84,52,47,4.7
62,Vardo,NO,2020-05-12 02:26:31,70.37,31.11,34.9,91,100,13.31
63,Plaster Rock,CA,2020-05-12 02:36:04,46.91,-67.39,48.31,92,90,5.82
64,Hobart,AU,2020-05-12 02:26:24,-42.88,147.33,61.03,51,75,13.87
65,Norman Wells,CA,2020-05-12 02:26:31,65.28,-126.83,57.2,41,40,13.87
66,Busselton,AU,2020-05-12 02:26:40,-33.65,115.33,59.63,94,100,1.01
67,Touros,BR,2020-05-12 02:27:29,-5.2,-35.46,73.4,94,20,4.7
68,Birao,CF,2020-05-12 02:36:04,10.28,22.79,80.89,52,93,4.99
69,Yei,SS,2020-05-12 02:36:04,4.09,30.68,66.38,94,100,3.27
70,Jamsa,FI,2020-05-12 02:36:04,61.86,25.19,28.4,92,2,3.36
71,Nisia Floresta,BR,2020-05-12 02:32:20,-6.09,-35.21,73.4,94,20,4.7
72,Ouargaye,BF,2020-05-12 02:36:04,11.5,0.06,83.88,54,69,11.95
73,Bredasdorp,ZA,2020-05-12 02:26:53,-34.53,20.04,60.8,87,100,1.12
74,Chapada Dos Guimaraes,BR,2020-05-12 02:36:05,-15.46,-55.75,80.6,69,17,3.36
75,Kerema,PG,2020-05-12 02:36:05,-7.96,145.78,82.76,81,56,6.87
76,Georgetown,MY,2020-05-12 02:26:33,5.41,100.34,83.88,83,20,4.7
77,Portland,US,2020-05-12 02:26:55,45.52,-122.68,54.54,82,90,6.67
78,Nsukka,NG,2020-05-12 02:36:05,6.86,7.39,70.16,99,54,3.44
79,Avarua,CK,2020-05-12 02:26:40,-21.21,-159.78,82.4,88,1,6.93
80,Raudeberg,NO,2020-05-12 02:36:05,61.99,5.14,34.0,87,92,19.42
81,Cidreira,BR,2020-05-12 02:26:45,-30.18,-50.21,68.31,87,94,4.18
82,Bengkulu,ID,2020-05-12 02:21:44,-3.8,102.27,84.52,67,4,5.3
83,Avera,US,2020-05-12 02:29:29,33.19,-82.53,55.17,41,1,3.36
84,Kavieng,PG,2020-05-12 02:26:42,-2.57,150.8,85.57,70,99,1.88
85,Asau,RO,2020-05-12 02:27:02,46.43,26.4,55.0,81,34,6.13
86,Dwarka,IN,2020-05-12 02:27:08,22.24,68.97,81.81,83,24,11.23
87,Kapaa,US,2020-05-12 02:25:39,22.08,-159.32,77.77,69,90,14.99
88,Preobrazheniye,RU,2020-05-12 02:27:01,42.9,133.91,47.46,89,100,8.46
89,Potosi,BO,2020-05-12 02:36:05,-19.58,-65.75,42.39,53,1,4.92
90,Rio Grande,BR,2020-05-12 02:27:05,-32.03,-52.1,57.0,92,43,9.31
91,Fuyu,CN,2020-05-12 02:36:05,45.18,124.82,60.13,31,32,17.9
92,Pevek,RU,2020-05-12 02:26:25,69.7,170.31,37.33,78,0,14.85
93,Tautira,PF,2020-05-12 02:28:51,-17.73,-149.15,86.0,70,26,11.41
94,Menongue,AO,2020-05-12 02:36:16,-14.66,17.69,58.14,74,68,3.44
95,Puerto Ayora,EC,2020-05-12 02:26:44,-0.74,-90.35,75.99,95,98,4.0
96,Ahipara,NZ,2020-05-12 02:26:25,-35.17,173.17,64.24,65,92,12.3
97,Qaqortoq,GL,2020-05-12 02:27:36,60.72,-46.03,51.8,29,100,31.09
98,Kerava,FI,2020-05-12 02:36:16,60.4,25.11,31.08,86,81,6.93
99,Faanui,PF,2020-05-12 02:26:39,-16.48,-151.75,81.55,74,0,10.33
100,Nikolskoye,RU,2020-05-12 02:27:07,59.7,30.79,36.12,69,75,13.42
101,Mazamet,FR,2020-05-12 02:36:16,43.49,2.37,49.19,100,90,2.24
102,Ukiah,US,2020-05-12 02:36:16,39.15,-123.21,58.44,59,20,4.7
103,Port Hedland,AU,2020-05-12 02:31:33,-20.32,118.57,89.6,18,0,12.75
104,Qaanaaq,GL,2020-05-12 02:26:38,77.48,-69.36,10.63,73,0,2.82
105,Palasa,IN,2020-05-12 02:36:16,18.77,84.42,90.73,49,44,7.09
106,Aasiaat,GL,2020-05-12 02:36:16,68.71,-52.87,38.44,76,48,6.51
107,Nanortalik,GL,2020-05-12 02:27:23,60.14,-45.24,41.92,76,100,16.22
108,Souillac,MU,2020-05-12 02:27:04,-20.52,57.52,73.4,56,40,6.93
109,Severo-Kurilsk,RU,2020-05-12 02:26:23,50.68,156.12,37.04,81,55,14.36
110,Sobolevo,RU,2020-05-12 02:36:16,54.43,31.9,59.22,92,100,18.45
111,Sur,OM,2020-05-12 02:27:48,22.57,59.53,85.8,60,0,7.07
112,Poum,NC,2020-05-12 02:36:17,-20.23,164.02,74.98,73,0,20.98
113,Jiwani,PK,2020-05-12 02:24:04,25.05,61.74,83.28,82,0,8.14
114,Cherskiy,RU,2020-05-12 02:27:14,68.75,161.3,44.85,57,0,22.48
115,Geraldton,AU,2020-05-12 02:27:11,-28.77,114.6,75.2,29,77,10.29
116,Pahrump,US,2020-05-12 02:26:22,36.21,-115.98,82.31,12,0,8.99
117,Gat,IL,2020-05-12 02:27:33,31.61,34.76,61.02,81,29,5.06
118,Balma,FR,2020-05-12 02:36:17,43.61,1.5,49.37,93,90,5.82
119,Hualmay,PE,2020-05-12 02:27:46,-11.1,-77.61,67.41,83,43,9.84
120,Vaini,TO,2020-05-12 02:26:34,-21.2,-175.2,80.6,69,20,8.05
121,Victoria Point,AU,2020-05-12 02:36:17,-27.58,153.3,73.76,60,40,3.0
122,Pangnirtung,CA,2020-05-12 02:27:03,66.15,-65.71,27.14,88,0,13.65
123,Hithadhoo,MV,2020-05-12 02:27:00,-0.6,73.08,82.81,78,100,23.55
124,Camacha,PT,2020-05-12 02:26:43,33.08,-16.33,62.6,82,75,18.34
125,Hachinohe,JP,2020-05-12 02:36:17,40.5,141.5,66.2,34,90,8.05
126,Tjaereborg,DK,2020-05-12 02:36:17,55.46,8.58,39.2,80,20,10.29
127,Presidente Medici,BR,2020-05-12 02:36:17,-11.18,-61.9,73.74,94,41,1.7
128,Port Blair,IN,2020-05-12 02:34:42,11.67,92.75,86.23,72,65,8.9
129,Maragogi,BR,2020-05-12 02:36:17,-9.01,-35.22,75.65,86,0,3.31
130,Amapa,BR,2020-05-12 02:36:17,1.0,-52.0,73.11,98,100,1.83
131,Mount Isa,AU,2020-05-12 02:26:37,-20.73,139.5,78.8,28,0,6.93
132,Cedar City,US,2020-05-12 02:36:18,37.68,-113.06,69.8,14,1,21.92
133,Cabo San Lucas,MX,2020-05-12 02:27:33,22.89,-109.91,75.58,44,5,9.17
134,Atasu,KZ,2020-05-12 02:36:18,48.68,71.64,71.69,48,55,1.7
135,Vila Franca Do Campo,PT,2020-05-12 02:27:39,37.72,-25.43,59.0,82,20,3.36
136,Trojes,AL,2020-05-12 02:36:18,41.76,19.96,59.0,82,40,6.93
137,Adrar,MR,2020-05-12 02:28:07,20.5,-10.07,83.32,15,0,16.04
138,Jinchang,CN,2020-05-12 02:36:28,38.5,102.17,63.97,20,9,10.51
139,Luderitz,NA,2020-05-12 02:27:39,-26.65,15.16,60.8,77,0,3.36
140,Victoria,HK,2020-05-12 02:25:44,22.29,114.16,80.67,80,99,4.0
141,Flin Flon,CA,2020-05-12 02:35:35,54.77,-101.86,31.35,82,0,5.06
142,Ayan,RU,2020-05-12 02:29:12,56.45,138.17,33.93,96,93,8.19
143,Kruisfontein,ZA,2020-05-12 02:27:09,-34.0,24.73,61.59,76,100,4.54
144,Kaitangata,NZ,2020-05-12 02:26:53,-46.28,169.85,55.0,68,100,1.99
145,Dunedin,NZ,2020-05-12 02:34:40,-45.87,170.5,54.52,64,100,1.97
146,Aknada,RU,2020-05-12 02:36:28,42.4,46.17,36.91,79,15,3.94
147,Aripuana,BR,2020-05-12 02:36:28,-9.17,-60.63,73.31,95,62,1.52
148,Veraval,IN,2020-05-12 02:36:29,20.9,70.37,84.92,69,0,11.1
149,Ilulissat,GL,2020-05-12 02:36:29,69.22,-51.1,50.0,46,0,21.92
150,Moree,AU,2020-05-12 02:26:47,-29.47,149.85,69.8,30,56,2.95
151,Chumphon,TH,2020-05-12 02:36:29,10.33,98.83,89.6,70,20,2.24
152,Komsomolskiy,UZ,2020-05-12 02:28:26,40.43,71.72,73.4,33,47,2.24
153,Muisne,EC,2020-05-12 02:36:29,0.6,-80.03,78.53,85,100,10.4
154,Caboolture,AU,2020-05-12 02:36:29,-27.08,152.95,71.64,67,40,8.68
155,Barwadih,IN,2020-05-12 02:36:29,23.83,84.12,97.41,17,13,4.81
156,Gornoye Loo,RU,2020-05-12 02:29:47,43.71,39.6,51.98,76,50,11.18
157,Buala,SB,2020-05-12 02:26:45,-8.14,159.59,84.9,76,96,11.63
158,Kayerkan,RU,2020-05-12 02:36:29,69.35,87.76,32.0,98,75,15.66
159,Guarapari,BR,2020-05-12 02:33:58,-20.67,-40.5,65.71,100,0,2.24
160,Porto Novo,BJ,2020-05-12 02:27:14,6.5,2.6,78.8,88,40,3.36
161,Khatanga,RU,2020-05-12 02:26:55,71.97,102.5,25.02,98,37,7.83
162,Robinson,US,2020-05-12 02:36:29,31.47,-97.11,71.65,53,5,6.93
163,Kodiak,US,2020-05-12 02:26:57,57.79,-152.41,51.8,50,75,10.29
164,Sterlibashevo,RU,2020-05-12 02:36:30,53.44,55.26,49.39,96,100,6.15
165,Pouebo,NC,2020-05-12 02:36:30,-20.4,164.57,76.12,61,16,5.7
166,Tamboril,DO,2020-05-12 02:36:31,19.49,-70.61,81.0,86,26,1.01
167,Okhotsk,RU,2020-05-12 02:27:30,59.38,143.3,39.81,71,100,13.76
168,Airai,TL,2020-05-12 02:27:58,-8.93,125.41,69.73,85,100,3.96
169,Broken Hill,AU,2020-05-12 02:35:17,-31.95,141.43,62.6,33,43,12.75
170,Longyearbyen,SJ,2020-05-12 02:27:05,78.22,15.64,15.8,78,20,10.29
171,San Cristobal,VE,2020-05-12 02:28:27,7.77,-72.22,68.49,92,30,2.37
172,Saint-Philippe,RE,2020-05-12 02:36:22,-21.36,55.77,65.12,63,75,5.82
173,Port Elizabeth,ZA,2020-05-12 02:26:35,-33.92,25.57,64.4,77,75,9.17
174,Fairview,US,2020-05-12 02:36:26,40.81,-74.0,47.52,61,75,10.29
175,Sabha,LY,2020-05-12 02:36:33,27.04,14.43,78.28,15,0,10.78
176,Tabuk,PH,2020-05-12 02:27:57,17.42,121.44,87.93,59,79,6.08
